0x0048BA Absolute_Zero
0xB0BF1A Acid_green
0x7CB9E8 Aero
0xC0E8D5 Aero_blue
0xB284BE African_violet
0x72A0C1 Air_superiority_blue
0xEDEAE0 Alabaster
0xF0F8FF Alice_blue
0xC46210 Alloy_orange
0xEFDECD Almond
0xE52B50 Amaranth
0x9F2B68 Amaranth_(M&P)
0xF19CBB Amaranth_pink
0xAB274F Amaranth_purple
0xD3212D Amaranth_red
0x3B7A57 Amazon
0xFFBF00 Amber
0xFF7E00 Amber_(SAE/ECE)
0x9966CC Amethyst
0xA4C639 Android_green
0xCD9575 Antique_brass
0x665D1E Antique_bronze
0x915C83 Antique_fuchsia
0x841B2D Antique_ruby
0xFAEBD7 Antique_white
0x008000 Ao_(English)
0x8DB600 Apple_green
0xFBCEB1 Apricot
0x00FFFF Aqua
0x7FFFD4 Aquamarine
0xD0FF14 Arctic_lime
0x4B5320 Army_green
0x8F9779 Artichoke
0xE9D66B Arylide_yellow
0xB2BEB5 Ash_gray
0x87A96B Asparagus
0xFF9966 Atomic_tangerine
0xA52A2A Auburn
0xFDEE00 Aureolin
0x568203 Avocado
0x007FFF Azure
0xF0FFFF Azure_(X11/web_color)
0x89CFF0 Baby_blue
0xA1CAF1 Baby_blue_eyes
0xF4C2C2 Baby_pink
0xFEFEFA Baby_powder
0xFF91AF Baker-Miller_pink
0xFAE7B5 Banana_Mania
0xDA1884 Barbie_Pink
0x7C0A02 Barn_red
0x848482 Battleship_grey
0xBCD4E6 Beau_blue
0x9F8170 Beaver
0xF5F5DC Beige
0x2E5894 B'dazzled_blue
0x9C2542 Big_dip_o’ruby
0xFFE4C4 Bisque
0x3D2B1F Bistre
0x967117 Bistre_brown
0xCAE00D Bitter_lemon
0xBFFF00 Bitter_lime
0xFE6F5E Bittersweet
0xBF4F51 Bittersweet_shimmer
0x000000 Black
0x3D0C02 Black_bean
0x1B1811 Black_chocolate
0x3B2F2F Black_coffee
0x54626F Black_coral
0x3B3C36 Black_olive
0xBFAFB2 Black_Shadows
0xFFEBCD Blanched_almond
0xA57164 Blast-off_bronze
0x318CE7 Bleu_de_France
0xACE5EE Blizzard_blue
0xFAF0BE Blond
0x660000 Blood_red
0x0000FF Blue
0x1F75FE Blue_(Crayola)
0x0093AF Blue_(Munsell)
0x0087BD Blue_(NCS)
0x0018A8 Blue_(Pantone)
0x333399 Blue_(pigment)
0x0247FE Blue_(RYB)
0xA2A2D0 Blue_bell
0x6699CC Blue-gray
0x0D98BA Blue-green
0x064E40 Blue-green_(color_wheel)
0x5DADEC Blue_jeans
0x126180 Blue_sapphire
0x8A2BE2 Blue-violet
0x7366BD Blue-violet_(Crayola)
0x4D1A7F Blue-violet_(color_wheel)
0x5072A7 Blue_yonder
0x3C69E7 Bluetiful
0xDE5D83 Blush
0x79443B Bole
0xE3DAC9 Bone
0x006A4E Bottle_green
0x87413F Brandy
0xCB4154 Brick_red
0x66FF00 Bright_green
0xD891EF Bright_lilac
0xC32148 Bright_maroon
0x1974D2 Bright_navy_blue
0xFFAA1D Bright_yellow_(Crayola)
0xFF55A3 Brilliant_rose
0xFB607F Brink_pink
0x004225 British_racing_green
0xCD7F32 Bronze
0x88540B Brown
0xAF6E4D Brown_sugar
0x1B4D3E Brunswick_green
0x7BB661 Bud_green
0xFFC680 Buff
0x800020 Burgundy
0xDEB887 Burlywood
0xA17A74 Burnished_brown
0xCC5500 Burnt_orange
0xE97451 Burnt_sienna
0x8A3324 Burnt_umber
0xBD33A4 Byzantine
0x702963 Byzantium
0x536872 Cadet
0x5F9EA0 Cadet_blue
0xA9B2C3 Cadet_blue_(Crayola)
0x91A3B0 Cadet_grey
0x006B3C Cadmium_green
0xED872D Cadmium_orange
0xE30022 Cadmium_red
0xFFF600 Cadmium_yellow
0xA67B5B Café_au_lait
0x4B3621 Café_noir
0xA3C1AD Cambridge_blue
0xC19A6B Camel
0xEFBBCC Cameo_pink
0xFFFF99 Canary
0xFFEF00 Canary_yellow
0xFF0800 Candy_apple_red
0xE4717A Candy_pink
0x00BFFF Capri
0x592720 Caput_mortuum
0xC41E3A Cardinal
0x00CC99 Caribbean_green
0x960018 Carmine
0xD70040 Carmine_(M&P)
0xFFA6C9 Carnation_pink
0xB31B1B Carnelian
0x56A0D3 Carolina_blue
0xED9121 Carrot_orange
0x00563F Castleton_green
0x703642 Catawba
0xC95A49 Cedar_Chest
0xACE1AF Celadon
0x007BA7 Celadon_blue
0x2F847C Celadon_green
0xB2FFFF Celeste
0x246BCE Celtic_blue
0xDE3163 Cerise
0x007BA7 Cerulean
0x2A52BE Cerulean_blue
0x6D9BC3 Cerulean_frost
0x1DACD6 Cerulean_(Crayola)
0x007AA5 CG_blue
0xE03C31 CG_red
0xF7E7CE Champagne
0xF1DDCF Champagne_pink
0x36454F Charcoal
0x232B2B Charleston_green
0xE68FAC Charm_pink
0xDFFF00 Chartreuse_(traditional)
0x7FFF00 Chartreuse_(web)
0xFFB7C5 Cherry_blossom_pink
0x954535 Chestnut
0xE23D28 Chili_red
0xDE6FA1 China_pink
0xA8516E China_rose
0xAA381E Chinese_red
0x856088 Chinese_violet
0xFFB200 Chinese_yellow
0x7B3F00 Chocolate_(traditional)
0xD2691E Chocolate_(web)
0x58111A Chocolate_Cosmos
0xFFA700 Chrome_yellow
0x98817B Cinereous
0xE34234 Cinnabar
0xCD607E Cinnamon_Satin
0xE4D00A Citrine
0x9FA91F Citron
0x7F1734 Claret
0x0047AB Cobalt_blue
0xD2691E Cocoa_brown
0x6F4E37 Coffee
0xB9D9EB Columbia_Blue
0xF88379 Congo_pink
0x8C92AC Cool_grey
0xB87333 Copper
0xDA8A67 Copper_(Crayola)
0xAD6F69 Copper_penny
0xCB6D51 Copper_red
0x996666 Copper_rose
0xFF3800 Coquelicot
0xFF7F50 Coral
0xF88379 Coral_pink
0x893F45 Cordovan
0xFBEC5D Corn
0xB31B1B Cornell_red
0x6495ED Cornflower_blue
0xFFF8DC Cornsilk
0x2E2D88 Cosmic_cobalt
0xFFF8E7 Cosmic_latte
0x81613C Coyote_brown
0xFFBCD9 Cotton_candy
0xFFFDD0 Cream
0xDC143C Crimson
0x9E1B32 Crimson_(UA)
0xA7D8DE Crystal
0xF5F5F5 Cultured
0x00FFFF Cyan
0x00B7EB Cyan_(process)
0x58427C Cyber_grape
0xFFD300 Cyber_yellow
0xF56FA1 Cyclamen
0x666699 Dark_blue-gray
0x654321 Dark_brown
0x5D3954 Dark_byzantium
0x26428B Dark_cornflower_blue
0x008B8B Dark_cyan
0x536878 Dark_electric_blue
0xB8860B Dark_goldenrod
0x013220 Dark_green
0x006400 Dark_green_(X11)
0x1A2421 Dark_jungle_green
0xBDB76B Dark_khaki
0x483C32 Dark_lava
0x534B4F Dark_liver
0x543D37 Dark_liver_(horses)
0x8B008B Dark_magenta
0x4A5D23 Dark_moss_green
0x556B2F Dark_olive_green
0xFF8C00 Dark_orange
0x9932CC Dark_orchid
0x03C03C Dark_pastel_green
0x301934 Dark_purple
0x8B0000 Dark_red
0xE9967A Dark_salmon
0x8FBC8F Dark_sea_green
0x3C1414 Dark_sienna
0x8CBED6 Dark_sky_blue
0x483D8B Dark_slate_blue
0x2F4F4F Dark_slate_gray
0x177245 Dark_spring_green
0x00CED1 Dark_turquoise
0x9400D3 Dark_violet
0x00703C Dartmouth_green
0x555555 Davy's_grey
0xDA3287 Deep_cerise
0xFAD6A5 Deep_champagne
0xB94E48 Deep_chestnut
0x004B49 Deep_jungle_green
0xFF1493 Deep_pink
0xFF9933 Deep_saffron
0x00BFFF Deep_sky_blue
0x4A646C Deep_Space_Sparkle
0x7E5E60 Deep_taupe
0x1560BD Denim
0x2243B6 Denim_blue
0xC19A6B Desert
0xEDC9AF Desert_sand
0x696969 Dim_gray
0x1E90FF Dodger_blue
0xD71868 Dogwood_rose
0x967117 Drab
0x00009C Duke_blue
0xEFDFBB Dutch_white
0xE1A95F Earth_yellow
0x555D50 Ebony
0xC2B280 Ecru
0x1B1B1B Eerie_black
0x614051 Eggplant
0xF0EAD6 Eggshell
0x1034A6 Egyptian_blue
0x16161D Eigengrau
0x7DF9FF Electric_blue
0x00FF00 Electric_green
0x6F00FF Electric_indigo
0xCCFF00 Electric_lime
0xBF00FF Electric_purple
0x8F00FF Electric_violet
0x50C878 Emerald
0x6C3082 Eminence
0x1B4D3E English_green
0xB48395 English_lavender
0xAB4B52 English_red
0xCC474B English_vermillion
0x563C5C English_violet
0x00FF40 Erin
0x96C8A2 Eton_blue
0xC19A6B Fallow
0x801818 Falu_red
0xB53389 Fandango
0xDE5285 Fandango_pink
0xF400A1 Fashion_fuchsia
0xE5AA70 Fawn
0x4D5D53 Feldgrau
0x4F7942 Fern_green
0x6C541E Field_drab
0xFF5470 Fiery_rose
0xB22222 Firebrick
0xCE2029 Fire_engine_red
0xE95C4B Fire_opal
0xE25822 Flame
0xEEDC82 Flax
0xA2006D Flirt
0xFFFAF0 Floral_white
0x15F4EE Fluorescent_blue
0x5FA777 Forest_green_(Crayola)
0x014421 Forest_green_(traditional)
0x228B22 Forest_green_(web)
0xA67B5B French_beige
0x856D4D French_bistre
0x0072BB French_blue
0xFD3F92 French_fuchsia
0x86608E French_lilac
0x9EFD38 French_lime
0xD473D4 French_mauve
0xFD6C9E French_pink
0xC72C48 French_raspberry
0xF64A8A French_rose
0x77B5FE French_sky_blue
0x8806CE French_violet
0xE936A7 Frostbite
0xFF00FF Fuchsia
0xC154C1 Fuchsia_(Crayola)
0xCC397B Fuchsia_purple
0xC74375 Fuchsia_rose
0xE48400 Fulvous
0x87421F Fuzzy_Wuzzy
0xDCDCDC Gainsboro
0xE49B0F Gamboge
0x007F66 Generic_viridian
0xF8F8FF Ghost_white
0x6082B6 Glaucous
0xAB92B3 Glossy_grape
0x00AB66 GO_green
0xA57C00 Gold
0xD4AF37 Gold_(metallic)
0xFFD700 Gold_(web)_(Golden)
0xE6BE8A Gold_(Crayola)
0x85754E Gold_Fusion
0x996515 Golden_brown
0xFCC200 Golden_poppy
0xFFDF00 Golden_yellow
0xDAA520 Goldenrod
0x676767 Granite_gray
0xA8E4A0 Granny_Smith_apple
0x808080 Gray_(web)
0xBEBEBE Gray_(X11_gray)
0x00FF00 Green
0x1CAC78 Green_(Crayola)
0x008000 Green_(web)
0x00A877 Green_(Munsell)
0x009F6B Green_(NCS)
0x00AD43 Green_(Pantone)
0x00A550 Green_(pigment)
0x66B032 Green_(RYB)
0x1164B4 Green-blue
0x2887C8 Green-blue_(Crayola)
0x009966 Green-cyan
0xA7F432 Green_Lizard
0x6EAEA1 Green_Sheen
0xADFF2F Green-yellow
0xF0E891 Green-yellow_(Crayola)
0xA99A86 Grullo
0x2a3439 Gunmetal
0x446CCF Han_blue
0x5218FA Han_purple
0xE9D66B Hansa_yellow
0x3FFF00 Harlequin
0xDA9100 Harvest_gold
0xFF7A00 Heat_Wave
0xDF73FF Heliotrope
0xAA98A9 Heliotrope_gray
0xF400A1 Hollywood_cerise
0xF0FFF0 Honeydew
0x006DB0 Honolulu_blue
0x49796B Hooker's_green
0xFF1DCE Hot_magenta
0xFF69B4 Hot_pink
0x355E3B Hunter_green
0x71A6D2 Iceberg
0xFCF75E Icterine
0x319177 Illuminating_emerald
0xED2939 Imperial_red
0xB2EC5D Inchworm
0x4C516D Independence
0x138808 India_green
0xCD5C5C Indian_red
0xE3A857 Indian_yellow
0x4B0082 Indigo
0x00416A Indigo_dye
0xFF4F00 International_orange_(aerospace)
0xBA160C International_orange_(engineering)
0xC0362C International_orange_(Golden_Gate_Bridge)
0x5A4FCF Iris
0xB3446C Irresistible
0xF4F0EC Isabelline
0xB2FFFF Italian_sky_blue
0xFFFFF0 Ivory
0x00A86B Jade
0x9D2933 Japanese_carmine
0x5B3256 Japanese_violet
0xF8DE7E Jasmine
0xA50B5E Jazzberry_jam
0x343434 Jet
0xF4CA16 Jonquil
0xBDDA57 June_bud
0x29AB87 Jungle_green
0x4CBB17 Kelly_green
0x3AB09E Keppel
0xE8F48C Key_lime
0xC3B091 Khaki_(web)
0xF0E68C Khaki_(X11)_(Light_khaki)
0x882D17 Kobe
0xE79FC4 Kobi
0x6B4423 Kobicha
0x354230 Kombu_green
0x512888 KSU_purple
0xD6CADD Languid_lavender
0x26619C Lapis_lazuli
0xFFFF66 Laser_lemon
